,Unnamed: 0,TEAM,GP,PPG,FGM-game,FGA-game,FGM-total,FGA-total,FG%,2PM,2PA,2P%,PPS,FG%.adj,team,games_played,assist,assist_per_game,turnover,turnover_per_game,assist/to
228,228,miami,32,71.8,25.2,57.8,805,1851,0.435,537,1046,0.513,1.24,0.507,Miami,32,413,12.9,372,11.6,1.11
229,229,howard,33,79.2,27.7,63.8,914,2104,0.434,680,1461,0.465,1.24,0.49,Howard,33,450,13.6,417,12.6,1.08
230,230,louisville,33,74.5,25.1,57.8,828,1908,0.434,543,1074,0.506,1.29,0.509,Louisville,33,442,13.4,406,12.3,1.09
231,231,siena,33,64.6,23.4,53.9,772,1779,0.434,484,930,0.52,1.2,0.515,Siena,33,415,12.6,322,9.8,1.29
232,232,hampton,31,81.7,27.7,64.0,860,1983,0.434,597,1219,0.49,1.28,0.501,Hampton,31,435,14.0,334,10.8,1.3
233,233,fairfield,31,66.8,24.5,56.6,761,1755,0.434,502,1015,0.495,1.18,0.507,Fairfield,31,401,12.9,436,14.1,0.92
234,234,bradley,34,66.6,23.2,53.6,790,1822,0.434,559,1190,0.47,1.24,0.49700000000000005,Bradley,34,411,12.1,430,12.6,0.96
235,235,texas,32,70.8,25.0,57.8,801,1848,0.433,529,1049,0.504,1.23,0.507,Texas,32,409,12.8,351,11.0,1.17
236,236,utsa,32,77.5,28.0,64.6,896,2068,0.433,602,1213,0.496,1.2,0.504,UTSA,32,420,13.1,402,12.6,1.04
237,237,umbc,34,67.5,24.1,55.7,820,1893,0.433,559,1086,0.515,1.21,0.502,UMBC,34,452,13.3,426,12.5,1.06
238,238,robert morris,33,69.1,24.2,55.9,799,1846,0.433,542,1121,0.483,1.24,0.502,Robert Morris,33,454,13.8,487,14.8,0.93
239,239,maine,32,62.1,23.3,54.0,747,1728,0.43200000000000005,546,1081,0.505,1.15,0.49,Maine,32,471,14.7,459,14.3,1.03
240,240,kent state,32,75.1,26.6,61.5,850,1967,0.43200000000000005,601,1224,0.491,1.22,0.495,Kent State,32,418,13.1,365,11.4,1.15
241,241,eastern illinois,32,71.8,25.8,59.8,826,1912,0.43200000000000005,554,1177,0.47100000000000003,1.2,0.503,Eastern Illinois,32,434,13.6,427,13.3,1.02
242,242,cincinnati,33,71.8,24.9,57.7,822,1903,0.43200000000000005,602,1274,0.473,1.24,0.49,Cincinnati,33,451,13.7,347,10.5,1.3
243,243,tennessee state,30,72.7,25.0,58.0,751,1739,0.43200000000000005,511,1023,0.5,1.25,0.501,Tennessee State,30,342,11.4,497,16.6,0.69
244,244,long beach state,34,74.9,25.8,59.7,877,2031,0.43200000000000005,660,1401,0.47100000000000003,1.25,0.485,Long Beach State,34,399,11.7,479,14.1,0.83
245,245,st. bonaventure,33,66.6,24.3,56.3,802,1858,0.43200000000000005,601,1242,0.484,1.18,0.486,St. Bonaventure,33,408,12.4,408,12.4,1.0
246,246,northern arizona,31,73.0,25.3,58.7,785,1819,0.43200000000000005,526,1070,0.49200000000000005,1.24,0.503,Northern Arizona,31,381,12.3,372,12.0,1.02
247,247,umkc,32,69.4,24.2,56.1,774,1794,0.431,515,1066,0.483,1.24,0.504,UMKC,32,352,11.0,391,12.2,0.9
248,248,saint peter's,32,62.9,22.1,51.2,707,1639,0.431,523,1072,0.488,1.23,0.48700000000000004,Saint Peter's,32,301,9.4,488,15.3,0.62
249,249,kansas state,33,65.8,23.8,55.1,784,1819,0.431,551,1125,0.49,1.19,0.495,Kansas State,33,454,13.8,372,11.3,1.22
250,250,illinois state,33,68.4,24.6,57.2,813,1887,0.431,569,1153,0.493,1.2,0.495,Illinois State,33,421,12.8,417,12.6,1.01
251,251,illinois,33,72.7,26.1,60.6,862,2001,0.431,603,1250,0.48200000000000004,1.2,0.496,Illinois,33,446,13.5,434,13.2,1.03
252,252,binghamton,33,65.2,24.0,55.8,793,1842,0.431,518,1054,0.491,1.17,0.505,Binghamton,33,324,9.8,409,12.4,0.79
253,253,missouri,32,67.2,23.7,55.1,758,1764,0.43,494,1037,0.47600000000000003,1.22,0.505,Missouri,32,354,11.1,448,14.0,0.79
